,note,associated_genders,text,id
137,photograph description assumes unknown person's gender (man/men/boy),Masculine,"['two young boys', 'unidentified man', 'two unidentified men', 'two unidentified men', 'two unidentified men', 'two unidentified men', 'two unidentified men', 'unidentified man', 'two workmen', 'an unidentified man', 'two unidentified men', 'an unidentified man', 'a group of men and policemen', 'three men', 'a man', 'a man', 'several men and boys', 'men', 'two men', 'two men', 'a man', 'three young Mashona boys', 'a group of Bar Nomads, men', 'an Indian man', 'a man', 'an Indian man', 'an Indian man', 'a man', 'a man', 'two men', 'an Indian man', 'a group of Englishmen', 'a man', 'four men', 'a man', 'a man', 'an Indian man', 'a man', 'three men', 'a young man', 'men', 'a man', 'groups of men', 'three men', 'the men', 'a man', 'two Indian men', 'an Indian man', 'A group of men', 'a man', 'two Indian men', 'a man', 'a man', 'a small boy', 'a man', 'a man', 'a man', 'a man', 'two men', 'an Indian man', 'a man', 'a group of Egyptian men', 'One man', 'a man', 'a group of men', 'six indigenous men', 'a man', 'men', 'four men', 'six men', 'man', 'a man', 'men', 'a man', 'a man', 'Indian man', 'an Indian man', 'a group of Afridi men', 'an Indian man', 'two Indian men', 'a Western man', 'three men', 'two men', 'men', 'two men', 'two African men', 'a man', 'a group of four men', 'two Maori men', 'a man', 'a man', 'a man', 'several mens hands', 'men', 'men', 'a man', 'a man', 'three men', 'a man', 'a man', 'an Indian man', 'a group of men', 'a man', 'two boys', 'Western man', 'a man', 'a seated man', 'a man', 'a Tamil man', 'a group of Indian boys', 'men', 'six men', 'a man', 'a man', 'men', 'Uzbek men and boys', 'a man', 'a man', 'men', 'boys', 'a Maori man', 'a man', 'a man', 'two young boys', 'two men', 'a man', 'a man', 'a man', 'a group of men', 'a man', 'a man', 'a man', 'an unidentified man', 'a man', 'a man', 'a group of men', 'three [Indian?] men', 'a man', 'two men', 'a man', 'two men', 'men', 'two men', 'three men', 'a man', 'three men', 'a man', 'several Indian men', 'men', 'a man', 'a man', 'men', 'a man', 'a man', 'men', 'an Indian man', 'two Indian men', 'two men', 'a group of African men', 'three men', 'two men', 'two men', 'a man', 'men', 'a group of men', 'A man', 'men', 'a man', 'a man', 'a man', 'several men', 'a man', 'men', 'an unknown man', 'a man', 'a man', 'men', 'a man', 'men', 'an Indian man', 'a man', 'a man', 'a man', 'a group of men', 'a small crew of men', 'a man', 'two men', 'a man', 'a man', 'men', 'four men', 'a man', 'a man', 'men', 'a group of Khond men', 'Two men', 'a man', 'two men', 'a group of men', 'Some of the men', 'a group of men', 'one man', 'a man', 'a man', 'a man', 'a man', 'men', 'men', 'a man', 'three men', 'a man', 'a man', 'a man', 'a man', ""a man's hands"", 'a man', 'a man', 'a group of men', 'two men', 'two boys', 'a boy', 'a man', 'a man', 'a man', 'a man', 'one man', 'a man', 'a man', 'a man', 'a man', 'four African men', 'a man', 'an Indian man', 'three men', 'a man', 'a man', 'two young boys', 'a man', 'a man', 'a man', 'two men', 'a group of men', 'a man', 'two men', 'Indian men', 'men', 'men', 'four African men', 'a man', 'a man', 'a man', 'a man', 'two men', 'a young man', 'two men', 'an unidentified parade of men', 'a man', 'a man', 'Men', 'two men', 'men and boys', 'a man', 'two Egyptian men', 'a man', 'a young man', 'two boys', 'two men', 'a man', 'a man', 'four men', 'a man', 'two men', 'a little Indian boy', 'a boy', 'a man', 'a man', 'a man', 'a man', ""a man's hands"", 'two men', 'a group of men', 'Two Indian men', 'an Indian man in Western dress', 'men', 'a group of men', 'a man', 'men', 'two Indian men', 'two men', 'an Indian man', 'a man', 'a man', 'an Indian man', 'a man', 'two men', 'a group of Indian men', 'a man', 'a man', 'an older Khond man', 'a boy', 'two men', 'an African man', 'a man', 'men', 'a small boy', 'a group of men', 'two [Egyptian?] men', 'a Western man', 'a man', 'a man', 'a man', 'a man', 'the man', 'an Indian man', 'a group of men', 'men', 'men', 'a man', 'a man', 'two men', 'two men', 'a group of African men', 'an Indian man', 'men', 'Two men', 'a man', 'a man', 'men', 'a man', 'two young men', 'two men', 'two men', 'a man', 'a man', 'two men', 'a man', 'several men', 'a man', 'a group of Indian men', 'an Indian man', 'a man', 'a man', 'a man', 'a man', 'a man', 'an Arabic man', 'a man', 'two men', 'a man', 'a man', 'two men', 'a man', 'three Indian men', 'a group of men', 'two men', 'two men', 'a man', 'several men', 'a man', 'two men', 'a group of men', 'a man', 'a man', 'a group of men and boys', 'the man', 'Khond men', 'Both men', 'a man', 'a man', 'men', 'an Indian man', 'men', 'two men', 'a group of Indian men', 'two men', 'a third man', 'three men', 'two men', 'two men', 'two men', 'men', 'four men', 'two Indian men', 'a man', 'men', 'two men', 'men', 'a man', 'two men', 'two Monda [Munda] men', 'men and boys', 'a man', 'a man', 'men', 'a man', 'two men', 'a man', 'men', 'eleven men', 'a man', 'a man', 'two men', 'a group of men', 'two men', 'a man', 'a group of young Khond boys', 'A man', 'a man', 'two men', 'two men', 'four men', 'two men', 'a couple of men', 'a man', 'a man', 'a man', 'Men', 'some men', 'a man', 'a man', 'a man', 'a man', 'an Indian man', 'an Indian man', 'A man', 'a man', 'a man', 'several men', 'three men', 'a man', 'a man', 'three men', 'a man', 'a man', 'a man', 'three men', 'a man', 'a young boy', 'man', 'a male person', 'male person', 'male person', 'male person', 'a man', 'a man', 'a man', 'a man', 'a boy', 'male person', 'male person', 'a male person', 'a boy', 'a man and a boy', 'a man', 'a male person', 'a male person', 'a man', 'a man', 'a man', 'a man', 'a man', 'a man', 'a man', 'a man', 'a boy', 'a boy', 'a boy', 'a boy', 'a boy', 'a small boy', 'a man', 'a man', 'a man', 'a man', 'a man', 'a man', 'a man', 'three men', 'a boy', 'a man', 'a man', 'a man', 'a man', 'a man', 'a man', 'a man', 'a man', 'a man', 'a man', 'a Japanese man', 'a Japanese man', 'a group of men', 'a group of men', 'a group of men', 'a group of men', 'a group of men', 'a Japanese man', 'a group of men', 'a man', 'several men', 'several men', 'a bearded man', 'two bearded men', 'a group of men', 'a group of men', 'a man', 'a man', 'a man', 'a man', 'a man', 'two men', 'a man', 'a man', 'a man', 'a man', 'a man', 'a man', 'a group of men', 'a group of men', 'man', 'a group of men', 'a group of men', 'a man', 'a man', 'a group of men', 'a group of men', 'a man', 'a group of men', 'two men', 'two men', 'two men', 'Man and a boy', 'Man', 'a man', 'Man', 'Boy', 'male person', 'Man', 'Two men', 'man', 'man']","[15076, 15126, 15145, 15428, 15640, 15854, 16056, 16072, 16091, 16210, 16224, 16231, 55354, 55377, 55394, 55406, 55423, 55455, 55474, 55480, 55485, 55495, 55505, 55515, 55528, 55539, 55544, 55554, 55581, 55587, 55592, 55597, 55604, 55610, 55637, 55645, 55650, 55655, 55659, 55664, 55698, 55706, 55711, 55716, 55752, 55763, 55768, 55777, 55781, 55791, 55796, 55807, 55816, 55820, 55822, 55837, 55842, 55847, 55856, 55860, 55881, 55904, 55910, 55920, 55924, 55929, 55957, 55964, 55994, 56019, 56030, 56085, 56094, 56099, 56105, 56110, 56115, 56119, 56125, 56131, 56143, 56161, 56170, 56178, 56185, 56194, 56207, 56211, 56226, 56242, 56275, 56280, 56285, 56289, 56294, 56310, 56322, 56331, 56338, 56363, 56368, 56372, 56382, 56391, 56397, 56402, 56407, 56413, 56423, 56442, 56467, 56479, 56484, 56490, 56516, 56520, 56528, 56572, 56585, 56590, 56596, 56601, 56609, 56632, 56646, 56651, 56702, 56712, 56716, 56740, 56748, 56757, 56778, 56783, 56788, 56792, 56798, 56805, 56815, 56848, 56870, 56878, 56895, 56900, 56906, 56931, 56937, 56941, 56967, 56971, 56976, 56982, 56990, 56994, 57009, 57013, 57028, 57033, 57042, 57064, 57080, 57099, 57111, 57113, 57126, 57131, 57137, 57141, 57146, 57151, 57174, 57179, 57192, 57203, 57207, 57215, 57235, 57251, 57258, 57262, 57267, 57286, 57291, 57308, 57313, 57322, 57327, 57332, 57340, 57348, 57369, 57387, 57399, 57406, 57418, 57424, 57466, 57471, 57482, 57487, 57498, 57504, 57516, 57534, 57542, 57551, 57565, 57576, 57580, 57592, 57599, 57606, 57615, 57633, 57636, 57641, 57656, 57660, 57666, 57673, 57683, 57693, 57701, 57708, 57709, 57727, 57780, 57785, 57790, 57795, 57802, 57808, 57840, 57846, 57868, 57873, 57901, 57909, 57914, 57921, 57937, 57946, 57952, 57957, 57971, 57977, 57982, 57991, 57996, 58001, 58016, 58025, 58030, 58035, 58050, 58080, 58086, 58091, 58100, 58107, 58115, 58172, 58189, 58217, 58242, 58267, 58272, 58289, 58295, 58323, 58328, 58333, 58338, 58349, 58354, 58374, 58391, 58396, 58401, 58406, 58412, 58418, 58423, 58429, 58434, 58440, 58451, 58461, 58471, 58481, 58485, 58498, 58503, 58510, 58515, 58533, 58542, 58548, 58560, 58582, 58600, 58605, 58613, 58618, 58651, 58663, 58676, 58681, 58688, 58693, 58698, 58708, 58713, 58729, 58758, 58784, 58808, 58819, 58824, 58836, 58842, 58845, 58851, 58890, 58895, 58914, 58919, 58937, 58942, 58947, 58980, 59006, 59019, 59024, 59030, 59035, 59040, 59044, 59053, 59065, 59080, 59091, 59104, 59108, 59111, 59124, 59132, 59138, 59169, 59179, 59184, 59188, 59203, 59209, 59222, 59230, 59235, 59246, 59258, 59279, 59283, 59293, 59298, 59313, 59327, 59332, 59345, 59360, 59374, 59399, 59403, 59411, 59415, 59419, 59424, 59430, 59448, 59488, 59501, 59512, 59520, 59526, 59531, 59536, 59546, 59550, 59558, 59562, 59586, 59596, 59608, 59651, 59658, 59676, 59684, 59689, 59694, 59709, 59712, 59738, 59799, 59815, 59826, 59837, 59844, 59854, 59860, 59870, 59875, 59898, 59904, 59912, 59927, 59941, 59957, 59962, 59975, 59988, 59991, 60004, 60012, 60027, 60036, 60054, 60059, 60084, 62899, 62903, 62905, 62920, 62922, 62934, 62954, 62956, 62964, 62974, 62980, 63087, 64097, 67335, 67406, 67806, 67816, 67937, 67946, 67972, 67976, 68002, 68035, 68036, 68038, 68077, 68080, 68085, 68122, 68125, 68160, 68205, 68217, 68243, 68246, 68249, 68274, 68276, 68278, 68280, 68287, 68289, 68291, 68302, 68391, 68466, 68481, 68496, 68498, 68510, 68528, 68532, 68535, 68538, 68542, 68545, 68623, 68661, 68664, 68677, 68711, 68808, 68812, 68874, 68878, 68882, 68885, 68888, 68891, 68894, 68897, 68900, 68989, 69000, 69003, 69016, 69018, 69022, 69026, 69029, 69032, 69036, 69042, 69044, 69049, 69051, 69054, 69057, 69061, 69066, 69070, 69073, 69076, 69079, 69083, 69086, 69090, 69096, 69100, 69116, 69132, 69151, 69160, 69172, 69176, 70619, 70626, 71590, 72206, 72971, 76335, 76384, 76405, 76406, 76408]"
138,photograph description assumes unknown person's gender (man/men/boy),Multiple,"['other men and a boy', 'six other men', 'a woman', 'another man', 'one man while another', 'another man', 'another man', 'another man', 'a woman', 'another man', 'another man', 'two other men', 'another man', 'another man', 'two other men', 'another man', 'another man', 'another unidentified man', 'another man', 'another man']","[55414, 55914, 55935, 56064, 56315, 56387, 56810, 56853, 56950, 57156, 57271, 57585, 58006, 58040, 58466, 58564, 58764, 59341, 59865, 60063]"
139,photograph description assumes unknown person's gender (woman/women),Feminine,"['unidentified woman', 'a woman', 'indigenous Mexican women', 'woman', 'a woman']","[16187, 55669, 55900, 55984, 56003]"
140,photograph description assumes unknown person's gender (woman/women),Multiple,"['five unidentified females', 'two female workers', 'unidentified female worker', 'unidentified female', 'unidentified female', 'two unidentified females']","[14481, 14643, 14650, 14789, 14955, 16163]"
141,photograph description assumes unknown person's gender (woman/women/girl),Feminine,"['a little girl', 'two Egyptian women', 'a smiling young woman', 'eight women', 'three women', 'three women', 'three women', 'a woman', 'a woman', 'a woman', 'a Maori girl', 'a little girl', 'a young, unidentified girl', 'three women', 'a woman', 'a group of women', 'a group of Bhuija women', 'a woman', 'two women', 'a young girl', 'a woman', 'two Monda [Munda] women', 'a small group of [Zulu] women', 'two women', 'a little Indian girl', 'a Western woman', 'Four women', 'a group of women', 'a woman', 'four women', 'a woman', 'a woman', 'a woman', 'a woman', 'a woman', 'a woman', 'a woman', 'two women', 'a woman', 'a woman', 'a woman', 'a woman', 'a woman', 'a woman', 'a woman', 'a woman', 'a woman', 'a woman', 'with a woman', 'a woman', 'a woman', 'a woman', 'a woman', 'a woman', 'a woman', 'two women', 'two women', 'a woman', 'two women', 'a woman', 'a woman', 'a woman', 'a woman', 'two women', 'two women', 'a woman', 'a woman', 'a woman', 'a woman', 'a woman', 'a woman', 'two women', 'a woman', 'a woman', 'a woman', 'a woman', 'woman', 'two women', 'a woman', 'a woman', 'a woman', 'a woman', 'a woman', 'a woman', 'a woman', 'a woman', 'a woman', 'a woman', 'a woman', 'a woman', 'a woman', 'a woman', 'a woman', 'a woman', 'a young girl', 'a young girl', 'a young girl', 'a young girl', 'a woman', 'a woman', 'a woman', 'a woman', 'a woman', 'a woman', 'a woman', 'a woman', 'a woman', 'a woman', 'a woman', 'a woman', 'a woman', 'a woman', 'a woman', 'a small girl', 'a small girl', 'a woman', 'a woman', 'a woman', 'a woman', 'a young woman', 'a young woman', 'a young woman', 'a young woman', 'a young woman', 'a young woman', 'young woman', 'a woman', 'a woman', 'a young woman', 'a young woman', 'a young woman', 'woman', 'a woman', 'a woman, canoeing', 'two women', 'a woman', 'a woman', 'a woman', 'a woman', 'a woman', 'a woman', 'a woman', 'a woman', 'a woman', 'a woman', 'a woman', 'a woman', 'a woman', 'a woman', 'a woman', 'young Chinese woman', 'young Chinese woman', 'young Chinese woman', 'young Chinese woman', 'young Chinese woman', 'a young Chinese woman', 'a young Chinese woman', 'a young Chinese woman', 'a young Chinese woman', 'a young Chinese woman', 'a young Chinese woman', 'a young Chinese woman', 'a young Chinese woman', 'a young Chinese woman', 'a young Chinese woman', 'a woman and a girl', 'two girls', 'a woman', 'women', 'four women', 'a woman', 'a woman', 'a woman', 'a woman', 'a young woman', 'a woman', 'two women', 'woman', 'Woman', 'Woman', 'woman', 'Woman', 'woman', 'Woman', 'Woman', 'woman', 'woman', 'woman', 'woman', 'woman', 'woman', 'woman', 'Woman']","[56044, 56148, 56326, 56567, 56579, 56660, 56707, 56884, 56914, 57085, 57114, 57209, 57352, 57455, 57646, 57747, 57752, 57857, 57888, 57892, 58011, 58126, 58130, 58156, 58343, 58476, 59014, 59074, 59212, 59217, 59702, 59832, 60017, 60040, 62907, 62909, 62911, 62915, 62918, 62950, 62952, 62960, 62966, 62968, 62977, 62982, 67599, 67604, 67825, 67835, 67842, 67848, 67850, 67852, 67855, 67865, 67868, 67871, 67874, 67882, 67884, 67887, 67890, 67902, 67910, 67926, 67944, 67948, 67954, 67959, 67970, 67989, 67992, 67996, 67999, 68021, 68025, 68045, 68088, 68114, 68127, 68133, 68135, 68137, 68139, 68140, 68142, 68153, 68155, 68157, 68166, 68173, 68177, 68186, 68188, 68190, 68192, 68194, 68207, 68209, 68220, 68223, 68226, 68229, 68232, 68235, 68237, 68240, 68251, 68271, 68282, 68285, 68293, 68298, 68300, 68309, 68315, 68320, 68373, 68420, 68422, 68425, 68428, 68431, 68438, 68440, 68444, 68447, 68454, 68459, 68461, 68463, 68588, 68591, 68601, 68607, 68611, 68655, 68658, 68718, 68721, 68724, 68727, 68730, 68733, 68736, 68739, 68761, 68769, 68772, 68776, 68778, 68780, 68782, 68784, 68788, 68792, 68796, 68800, 68804, 68816, 68820, 68824, 68826, 68828, 68830, 68834, 68960, 68972, 68974, 68994, 69047, 69139, 69165, 69196, 69200, 69294, 69629, 70624, 70628, 72033, 72036, 72209, 72976, 73283, 74851, 75154, 75158, 76336, 76385, 76386, 76387, 76430]"
142,photograph description assumes unknown person's gender (woman/women/girl),Multiple,['the Maori girl'],[57116]
143,potentially problematic,Multiple,['If hens were women'],[45287]
144,presumably a woman referenced by first name only rather than last name only,Multiple,['Sheena'],[26136]
145,"primacy of man - house described as belonging to man even though woman lives their, too",Multiple,"[""A[lex] Easton's house""]",[58623]
146,reducing a horsewoman to her looks,Multiple,['Pretty'],[51070]
147,reducing a woman to her looks,Multiple,['Pretty'],[53504]
148,"returning to her career ""just wasn't to be""  - seems to imply young woman with children simply not cut out for full-time medical work",Multiple,"[""She twice tried to return to medicine full-time but this just wasn't to be.""]",[13683]
149,"seems to give lots of credit to people other than the woman who was just said to have found the davidson clininc in the previous sentence, winifred rushworth",Multiple,['men'],[54128]
150,should we really assume someone's gender based on a photograph?,Feminine,"['woman', 'woman', 'woman', 'woman', 'women', 'womwn', 'women', 'woman', 'woman', 'group of men and a woman', 'women', 'women', 'woman', 'women', 'women', 'women', 'woman']","[10086, 10446, 10451, 10456, 13498, 13505, 15344, 15621, 16181, 51703, 51727, 52010, 52027, 52045, 52117, 52158, 52230]"
151,should we really assume someone's gender based on a photograph?,Masculine,"['man', 'man', 'men', 'men', 'men', 'men', 'men', 'men', 'boys', 'men', 'boys', 'men', 'man', 'men', 'men', 'man', 'man', 'man', 'man', 'man', 'man', 'man', 'man', 'cowboys', 'cowboys', 'man', 'man', 'men', 'men', 'men', 'man', 'men', 'male', 'men', 'men', 'men', 'men', 'man', 'man', 'men', 'man', 'man', 'man', 'men', 'man', 'man', 'men', 'man', 'man', 'man', 'man', 'men', 'men', 'men', 'men', 'man', 'man', 'man', 'man', 'men', 'men', 'men', 'men', 'men', 'man', 'man', 'man']","[14684, 15127, 15147, 15430, 15442, 15643, 15857, 15868, 17375, 51679, 51684, 51691, 51696, 51722, 51734, 51741, 51747, 51763, 51768, 51774, 51787, 51792, 51810, 51818, 51835, 51866, 51874, 51881, 51890, 51895, 51906, 51922, 51929, 51935, 51942, 51950, 51956, 51962, 52002, 52005, 52020, 52033, 52054, 52089, 52095, 52103, 52109, 52146, 52177, 52183, 52191, 52197, 52202, 52221, 52234, 52247, 52268, 52273, 52279, 52286, 52298, 52313, 52317, 52329, 52335, 52362, 52378]"
152,should we really assume someone's gender based on a photograph?,Multiple,"['her', 'two boys, one girl', 'female']","[10460, 12538, 25422]"
153,should we really assume someone's gender based on a photograph?,Unclear,"['workmen', 'Negrette', 'a man', 'policeman']","[16094, 50479, 51751, 52357]"
154,should we really assume someone's gender based on a portrait?,Masculine,"['man', 'man']","[50199, 50205]"
155,should we really assume someone's gender based on a slide?,Masculine,"['Schoolboys', 'man']","[50970, 51666]"
156,should we really assume someone's gender based on a slide?,Multiple,['Mother'],[51091]
157,should we really assume someone's gender based on a slide?,Unclear,"['Men', 'Men', 'Men', 'His', 'Women', 'Man', 'Man', 'Milkman', 'Milkman', 'Man', 'Men', 'Milkmen', 'Men', 'Women', 'Woman', 'Men', 'Men', 'Men', 'Women', 'Man', 'Women', 'Girl', 'Man', 'Women', 'Man', 'Men', 'Lady', 'Man', 'Men', 'Tribesman', 'Man', 'His', 'Women', 'Women', 'Man', 'Woman', 'Women', 'Ladies', 'Husbandman', 'Woman', 'Man', 'Man', 'Men', 'Man', 'Women', 'Man', 'Man']","[50273, 50285, 50289, 50306, 50317, 50388, 50472, 50536, 50561, 50601, 50632, 50685, 50694, 50734, 50758, 50765, 50771, 50783, 50787, 50794, 50838, 50844, 50863, 50895, 50950, 50992, 51096, 51106, 51112, 51123, 51143, 51148, 51161, 51166, 51171, 51273, 51290, 51303, 51323, 51336, 51341, 51422, 51578, 51621, 51627, 51631, 51654]"
158,should we really assume someone's gender based on an engraving?,Multiple,['female'],[23256]
159,should we really assume someone's gender based on an illustration?,Masculine,['cowboy'],[51998]
160,should we really be guessing gender from a photograph?,Feminine,"['woman', 'woman', 'woman', 'woman', 'women', 'woman', 'women', 'girls', 'woman', 'woman', 'woman', 'woman', 'women', 'woman', 'woman', 'women', 'girl', 'woman', 'woman', 'girl', 'women', 'woman', 'woman', 'women', 'woman', 'woman', 'women', 'women', 'women', 'women', 'women', 'woman', 'women', 'women', 'woman', 'woman', 'girls', 'girls', 'woman', 'woman', 'girl', 'women']","[11912, 11919, 52443, 52648, 52765, 52826, 53171, 53236, 53362, 53385, 53406, 53461, 53526, 53649, 53745, 53808, 53871, 53933, 53945, 53967, 53988, 54062, 54191, 54369, 54386, 54401, 54491, 54655, 54718, 54756, 54863, 54997, 55097, 55183, 55205, 55273, 55295, 55302, 55310, 55326, 55333, 55402]"
161,should we really be guessing gender from a photograph?,Masculine,"['man', 'boy', 'man', 'man', 'man', 'man', 'his', 'him', 'man', 'man', 'man', 'man', 'men', 'cowboys', 'men', 'man', 'man', 'men', 'man', 'men', 'man', 'man', 'man', 'boy', 'man', 'man', 'men', 'men', 'man', 'man', 'man', 'men', 'man', 'man', 'man', 'cowboy', 'boys', 'men', 'man', 'man', 'men', 'man', 'man', 'men', 'man', 'man', 'men', 'man', 'men', 'men', 'men', 'men', 'men', 'man', 'man', 'man', 'man', 'boy', 'man', 'men', 'man', 'man', 'he', 'men', 'man', 'man', 'man', 'boy', 'men', 'boys', 'man', 'man', 'man', 'man', 'men', 'men', 'man', 'men', 'men', 'men', 'men', 'cowboys', 'boy', 'boy', 'man', 'men', 'men', 'man', 'man', 'man', 'man', 'men', 'man', 'his', 'man', 'man', 'men', 'man', 'men', 'men', 'man', 'man', 'man', 'man', 'him', 'man', 'his', 'cowboys', 'men', 'men', 'man', 'men', 'man', 'man', 'men', 'him', 'man', 'men', 'man', 'men', 'men', 'man', 'man', 'men', 'cowboy', 'men', 'man', 'men', 'man', 'man', 'men', 'man', 'men', 'cowboys', 'men', 'men', 'men', 'man', 'man', 'men', 'man', 'men', 'man', 'men', 'man', 'cowboy', 'man', 'man', 'man', 'boy', 'his', 'his', 'man', 'man', 'man', 'men', 'man', 'man', 'man', 'men', 'men', 'men', 'men', 'men', 'men', 'boys', 'man', 'men', 'man', 'men', 'man', 'man', 'men', 'men', 'man', 'men', 'man', 'men', 'men', 'men', 'man', 'man', 'men', 'men', 'man', 'man', 'men', 'men', 'man', 'his', 'men', 'man', 'man', 'men', 'man', 'man', 'his', 'man', 'man', 'man', 'men', 'men', 'men', 'men', 'man', 'man', 'men', 'man', 'men', 'men', 'men', 'men', 'man', 'man', 'men', 'man', 'men', 'man', 'men', 'man', 'man', 'his', 'men', 'man', 'men', 'him', 'man', 'man', 'men', 'man', 'men', 'men', 'man', 'men', 'man', 'men', 'man', 'man', 'men', 'boys', 'men', 'men', 'man', 'man', 'men', 'men', 'men', 'men', 'man', 'he', 'his', 'man', 'men', 'man', 'man', 'men', 'man', 'his', 'men', 'man', 'men', 'man', 'man', 'cowboy', 'man', 'men', 'men', 'cowboys', 'man', 'men', 'man', 'him', 'men', 'boy', 'men', 'boys', 'men', 'men', 'men', 'man', 'boys', 'men']","[26470, 26838, 52406, 52412, 52428, 52449, 52469, 52472, 52477, 52483, 52489, 52494, 52505, 52512, 52516, 52524, 52540, 52546, 52556, 52562, 52570, 52584, 52591, 52599, 52612, 52618, 52624, 52638, 52645, 52660, 52665, 52677, 52686, 52693, 52705, 52716, 52746, 52760, 52783, 52799, 52807, 52821, 52836, 52848, 52854, 52862, 52866, 52873, 52892, 52898, 52903, 52909, 52920, 52925, 52932, 52945, 52951, 52957, 52967, 52971, 52983, 52988, 52991, 53016, 53022, 53027, 53033, 53039, 53062, 53065, 53074, 53083, 53089, 53109, 53116, 53123, 53135, 53141, 53154, 53158, 53168, 53179, 53186, 53200, 53204, 53211, 53216, 53222, 53229, 53246, 53254, 53274, 53283, 53294, 53299, 53322, 53334, 53346, 53367, 53373, 53379, 53391, 53396, 53402, 53415, 53420, 53423, 53428, 53432, 53437, 53444, 53467, 53482, 53488, 53522, 53528, 53540, 53550, 53555, 53559, 53566, 53584, 53613, 53619, 53683, 53694, 53704, 53710, 53729, 53740, 53756, 53762, 53784, 53790, 53814, 53825, 53831, 53852, 53859, 53863, 53876, 53890, 53919, 53924, 53929, 53941, 53949, 53954, 53958, 53962, 53973, 53975, 53996, 54002, 54008, 54014, 54021, 54034, 54051, 54081, 54088, 54094, 54109, 54117, 54160, 54165, 54197, 54215, 54232, 54237, 54253, 54276, 54296, 54306, 54315, 54319, 54346, 54351, 54364, 54376, 54382, 54396, 54406, 54430, 54436, 54442, 54447, 54454, 54466, 54476, 54483, 54500, 54505, 54510, 54520, 54525, 54529, 54533, 54538, 54543, 54594, 54599, 54615, 54640, 54646, 54651, 54662, 54667, 54673, 54683, 54733, 54751, 54764, 54792, 54797, 54806, 54829, 54853, 54859, 54872, 54889, 54893, 54899, 54903, 54905, 54907, 54912, 54925, 54947, 54954, 54979, 54984, 54988, 54993, 55002, 55017, 55023, 55031, 55037, 55042, 55047, 55052, 55056, 55063, 55069, 55092, 55117, 55132, 55149, 55155, 55164, 55178, 55189, 55198, 55210, 55216, 55228, 55231, 55242, 55248, 55253, 55261, 55268, 55284, 55321, 55355, 55378, 55391, 55395, 55398, 55407, 55410, 55415, 55419, 55424, 55428, 55454, 55475, 55481, 55486, 55496, 55507]"
162,should we really be guessing gender from a photograph?,Multiple,"['her', 'her']","[54066, 54071]"
163,should we really be guessing gender from a photograph?,Unclear,"['milkmen', 'policeman', 'tribesman', 'tribesman', 'milkman', 'policeman', 'policemen']","[52401, 53519, 53908, 54473, 54635, 55161, 55361]"
164,should we really be guessing gender from an image?,Masculine,['man'],[54839]
165,speculation about woman's life not found in biographies of men,Multiple,"['As a young married woman with two small children - Kathleen and Margaret - she found it difficult to keep her medical career going', ""She twice tried to return to medicine full-time but this just wasn't to be""]","[13660, 13682]"
166,"spouse, presumably a woman, described in relation to husband",Multiple,"['his spouse', 'his spouse']","[28016, 28031]"
167,stereotype of men being accounting students in material is described in metadata,Masculine,"['designed for a male', 'designed for a male', 'designed for a male student']","[28591, 28597, 28604]"
168,suggests influence of husband on woman's interests without much evidence to support this,Multiple,['influenced by the interests of her husband'],[49499]
169,"the word ""female"", when used as a noun to refer to human beings, reduces women to their reproductive abilities. it is often used in a derogatory sense and can be insulting. the word ""women"" should be used instead.",Multiple,"['unidentified females', 'female', 'female', 'females']","[14482, 14792, 14957, 16167]"
170,the word 'male' as a noun used for humans - reduces men to their biology,Masculine,['males'],[14800]
171,this seems to portray a woman with plenty of qualifications as weak on her own,Multiple,['Her confidence in analytic psycho-therapy was strengthened'],[31268]
172,"this takes away credit from the woman who was just said to have found the davidson clininc in the previous sentence, winifred rushworth",Multiple,['they worked together for sixteen years establishing the Davidson Clinic'],[31272]
173,vague. the activities of `women's groups` not specified. this creates the impression that their activities are of lesser importance.,Multiple,"[""women's groups""]",[803]
174,vehicle given female name,Multiple,"['Empress of Britain', 'Empress of Britain', 'Empress of Britain', 'Empress of China', 'Empress of India', 'Empress of Japan', 'Empress of Britain', 'Empress of Ireland', 'Empress of Asia', 'Empress of Russia', 'Empress of France', 'Empress of Scotland', 'Empress of Britain', 'Empress of England', 'Empress of Britain', ""The ship's maiden voyage"", 'Empress of Britain', 'Queen Anna Maria', 'Mary Rose', 'Empress of Britain', 'Empress of Britain', 'Empress of Britain', 'Empress of Britain', 'Empress of Britain', 'Empress of England', 'Empress of Britain', 'Empress of Britain', 'Empress of Britain']","[32471, 32473, 32475, 32478, 32480, 32482, 32483, 32485, 32487, 32489, 32491, 32493, 32495, 32498, 32500, 32503, 32505, 32507, 45108, 49043, 49049, 49051, 49059, 49063, 49066, 49068, 49075, 49079]"
175,vehicle referred to by female role,Multiple,"['the sister ship', ""The ship's maiden voyage""]","[49064, 49073]"
176,very positive claim made about a man without any evidence being provided to back it up,Masculine,['the most influential anatomy professor in the English speaking world'],[41397]
177,"why female voices, not a soprano or alto voice?  what if non-female person has high voice?",Multiple,"['female', 'female', 'female', 'female', 'female', 'female', 'female', 'female', 'female', 'female', 'female', 'female', 'female', 'female', 'female']","[7900, 7909, 8047, 8053, 8059, 8068, 8107, 8630, 11165, 11592, 11604, 12089, 12100, 12111, 12118]"
178,"why female voices, not simply soprano, alto, tenor, bass?",Multiple,['female'],[8889]
