,description,field,desc_id,label,eadid
4965,"Material relating to Thomas Archibald Campbell Brownlie B.Sc. (Engineering), Edinburgh 1935

",Title,3607,"{'Generalization', 'Unknown'}",Coll-1329
10735,"The ornamental turner Charles Holtzapffel was born in 1806. He was the son of the German engineer John Jacob Holtzapffel (1768-1835), from Alsace, who had settled in London in the 1780s and who had founded the tool business in the 1790s. Trading as John Holtzapffel in London's Long Acre, the firm was noted for its production of iron-bedded lathes with ornamental turning apparatus. In 1804 the firm was expanded to include John George Deyerlein but this arrangement lasted only until 1827. In 1827, Charles Holtzapffel joined the firm at the age of 21. The younger Holtzapffel had received a good English education, and through careful training in the firm's workshop he had become a skilled engineer in his own right. On the death of his father, Charles carried on the firm and continued to develop the machinery and attachments for ornamental turnery. Other devices were invented too, including machinery for printing banknotes, a dividing engine for the graduation of drawing scales, and an apparatus for tracing geometrical figures on glass. In 1838, Charles published hisNew system of scales of equal parts applicable to various purposes of engineering, architecture and general sciencefollowed by its complement, theList of scales of equal parts. In 1843, he publishedTurning and mechanical manipulation. Volume 1: Materials, their choice, preparation and various modes of working them. This was actually his father's work and was followed in 1846 by his ownTurning and mechanical manipulation. Volume 2: Construction, action, and application of cutting tools. By 1884, five volumes of this turner's bible had been published by Charles and his son John Jacob Holtzapffel II. Charles Holtzapffel was a member of the Council of the Institute of Civil Engineers, and was Chairman of the Mechanic's Committee of the Society of Arts. He died on 11 April 1847 and his widow Amelia Vaux (Dutton) Holtzapffel managed the firm until 1853. Their son John Jacob became head of the firm in 1867 and managed the business until 1896 when Charles' nephew George William Budd (later known as George William Holtzapffel) took over. John Jacob Holtzapffel II died in Eastbourne on 14 October 1897. In 1919, Colonel John George Holtzapffel Budd, the son of George William Holtzapffel, began to take an active part in running the firm.",Biographical / Historical,3609,"{'Gendered-Pronoun', 'Unknown', 'Masculine', 'Omission', 'Gendered-Role', 'Generalization', 'Occupation', 'Feminine'}",Coll-134
5644,"Philip George Edward Wigley took his B.A. degree at Toronto University with First Class Honours in modern history, and then graduated from Cambridge University with a Master of Arts degree in 1966. In 1971 he became a Lecturer in Canadian History and Edinburgh University, at the History Department. Wigley assisted in the planning of the Centre for Canadian Studies at the University, and for a time he edited theEdinburgh University. Centre of Canadian Studies. Seminar Papersseries. Wigley's other published works includeCanada and the transition to Commonwealth: British-Canadian relations, 1917-1926(1977) and also, in collaboration with another,The First British Commonwealth: essays in honour of Nicholas Mansergh(1980). Dr. Philip George Edward Wigley died in a climbing accident near Callendar, Perthshire, on 7 March 1982.",Biographical / Historical,3610,"{'Gendered-Pronoun', 'Stereotype', 'Unknown', 'Masculine', 'Generalization', 'Occupation'}",Coll-135
5515,"Papers of Dr. Philip G. E. Wigley

",Title,3611,{'Unknown'},Coll-135
2736,"Edward Bald Jamieson, from Shetland, was a graduate of Edinburgh University (1900), and then demonstrator and lecturer in Anatomy at Edinburgh University. He was also an author of medical textbooks on Anatomy. William Rolland Scott Cowe was born on 24 October 1915 in Edinburgh. He studied at Edinburgh University and was awarded the degrees of Bachelor of Medicine, and Bachelor of Surgery, MB., Ch.B. on 20 July 1938. Still resident in Edinburgh in 1939, he was Obstetric House Surgeon at the Simpson Memorial Pavilion, Edinburgh Royal Infirmary. His career then took him to Wigan, Lancashire, as House Surgeon at the Royal Infirmary there. In Keighley, Yorkshire, he served as the Police Surgeon, Keighley Division, West Riding Constabulary, and was a Clinical Assistant (Venereology) at Airedale General Hospital.  During the Second World War he served as a Captain and then Major with the Royal Army Medical Corps, serving in Africa and Palestine. Cowe's prime interest was obstetrics and gynaecology and he became a member of the Royal Medical Society of Edinburgh with a presentation on Cardiac Disease in Pregnancy, January 1939. He went on to become a Fellow of the Royal Medical Society. In his specialism of veneorology, publications include the jointly written 'Penicillin in gonnorhea and syphilus' in the British Medical Journal in 1945, and 'Middle East granuloma' in the British Journal of Venereal Diseases also in 1945.  William Rolland Scott Cowe retired to Kirk Yetholm, Roxburghshire, in the Scottish Borders, and he died there on 15 December 1986 .

",Biographical / Historical,3612,"{'Gendered-Pronoun', 'Stereotype', 'Masculine', 'Generalization', 'Occupation'}",Coll-1350
5256,"Notes of lectures given by Dr. E. B. Jamieson

",Title,3614,{'Unknown'},Coll-1350
5024,"Michael Anderson was born 21 February 1942. He was educated at Kingston Grammar School and he studied at Queens' College, Cambridge, where he was awarded the degrees of BA (1964), MA (1968), and Ph.D (1969). In 1967, he was appointed as an Assistant Lecturer, Edinburgh University, Department of Sociology, and then became a Lecturer in 1969, and Reader in 1975. He became Professor of Economic History in 1979 until 2007. In 1985 he was appointed Dean of the Faculty of Social Sciences, and Vice-Principal between 1989-1993, and 1997-2000. During a few months of 1994 he served as Acting Principal, and he was Senior Vice-Principal, 2000-2007. Anderson became a Fellow of the Royal Society of Edinburgh in 1990 and was awarded with an OBE in 1999. He has an Honorary Doctorate from Edinburgh University, 2007, and is a Fellow of the British Academy, a Fellow of the Royal Historical Society, and an Honorary Fellow of the Faculty of Actuaries.  His publications include Family structure in nineteenth century Lancashire (1971), editor of Sociology of the family (1972), Approaches to the history of the western family, 1500-1914 (1981), The 1851 census: a national sample of the enumerators returns (1987), Population change in northwestern Europe 1750-1850 (1988), editor of Social and political economy of the household (1995), and editor of British population history (1996). Michael Anderson OBE, MA, PhD, Dr H.C., FBA, FRSE, FRHist Soc, HonFFA is currently Emeritus Professor of Economic History at Edinburgh University.

",Biographical / Historical,3615,"{'Gendered-Pronoun', 'Stereotype', 'Masculine', 'Gendered-Role', 'Generalization', 'Occupation'}",Coll-1351
2229,"Copies of printed documents (memoranda, committee papers, emails), many with autograph annotations, relevant to the review of support services, academic management restructuring and devolution to colleges and schools, along with several large tables charting the relevant chairs, duties, and particulars of appointment of professors across the older Faculty structure of the University - all covering the period 2001-2002.

",Scope and Contents,3617,{'Occupation'},Coll-1351
5542,"Papers of Professor Michael Anderson

",Title,3618,{'Unknown'},Coll-1351
10531,"The collection of papers is composed of (in Boxes 1 & 2) material in the form of memos, notes, lectures, off-prints, talks, illustrations, press cuttings, and correspondence, relating to:    
      - Royal Society of Edinburgh, and Scottish Council Development and Industry
      - company structures and company responsibilities
      - companies and institutions with which Sir Gerald Elliot has been involved including the Prince's Scottish Youth Business Trust, The National Museums of Scotland, the Irish Fish Meal Co., Forth Ports Authority, Biotechnica, and Furness and Salvesen (Agencies) Ltd
      - a book on 'Slekten Salvesen' - the Salvesen family/genealogy
      - ship losses incurred by Salvesen, 1939-1945 war
      - fish stocks and fisheries control, and often with relevance to Salvesen
      - politics and religion, and devolution and the EMU
      - ports and transport
      - the Falklands conflict
      - the Salvesen de-merger
      - Christian Salvesen PLC - a small archive covering: a memorial service in Norway 2006; correspondence, notes and lectures; the book 'A whaling enterprise'; talks on whaling and work (Norwegian typescript) by Per Ottesen; illustrations and postal history (the Antarctic and whaling); history; and the International Whaling Commission
      - Court membership, government structure - Edinburgh University
      - status of Rectors - Edinburgh University
      - Scottish Arts Council; Arts Council of GB; Scottish Opera
      - heritage and the arts
      - printed matter relating to whaling, South Georgia, and the Salvesen Co.
    
and, in addition (in Box 3) the following materials:    
      - copy of 'En sann Odysse', Svend Foyn Bruun
      - copy of 'Dr. MacIntosh's Diary 1961-1962'... south on 'Venturer'... ashore at Leith Harbour... Home by 'Harvester'
      - copy of 'Diary of Dr. MacIntosh. Antarctica, 1956-1957'
      - copy of 'South Georgia Museum. Annual Report 2012-13'
      - copy of ts paper on the ship 'Southern Harvester'... stats' and information
      - copy of 'The story of Christian Salvesen 1846-1996', by Nigel Watson
      - copy of 'Peder Mikkelsen og Svend Foyn - et 150 aars minne', Svend Foyn Bruun
      - copy of 'The status of the world's whales', by Edward D. Mitchell (pub'd by Canadian Nature Federation, and reprinted from 'Nature Canada' Vol.2. No.4. Oct-Dec 1973)
      - copy of 'Whaling 1937-1967: the International control of whale stocks', Sir Gerald Elliot, 1997 (Kendall Whaling Museum Monograph Series No.10)
      - offprint, 'Eighteenth century Nantucket whaling', by Douglass C. Fonda Jr., inscribed for Christian Salvesen & Co., for the company Library
      - offprint, 'Technological transformation in the Norwegian whaling industry in the interwar period', by Bjoern L. Basberg, 1987, inscribed for Gerald Elliot
      - offprint, 'Fischerei und walfang', by Klaus Barthelmess, inscribed by the author, and from 'Deutsches Schiffahrtsarchiv', 19/1996
      - offprint, 'Wrecks, hulks and other vessel remains at South Georgia, Falkland Islands Dependencies', by R. K. Headland
      - bundle of off-prints, papers, scraps of other ts material... copies
      - small bundle of letters (2), and photographs
      - small bundle of Canadian tourist brochures... historical sites

",Scope and Contents,3619,"{'Unknown', 'Omission', 'Masculine', 'Gendered-Role', 'Occupation'}",Coll-1357
3016,"Gerald Henry Elliot was born in Edinburgh on 24 December 1923. His parents were Captain J. S. Elliot RN and Magda Salvesen. He was educated at Marlborough College and then he studied at New College, Oxford, where he graduated with the degree of BA PPE in 1948. During the Second World War, he served as a Captain with the FF Rifles, Indian Army (Frontier Force), 1942-1946. Elliot joined the family firm of Christian Salvesen and Company in 1948 and quickly became involved in its whaling operations, making his first trip to South Georgia just two months after his appointment. He slowly took over the management of the whaling fleet from his uncle, Harold Salvesen, and was involved in improving processing methods, the rationalisation of whale catches, ordering of supplies and overseeing recruitment. In 1950, he married Margaret Ruth Whale, daughter of the Rev. J. S. Whale. Following the cessation of whaling in the 1960s Elliot became involved in Salvesen's fishing interests in South America. He retired from the company (Christian Salvesen plc) in 1988 having been its Chairman since 1981. He was knighted in 1986. His wife, Lady Elliot, has also been honoured, receiving an MBE in 1993. In October 2007, the French based transport and logistics provider Norbert Dentressangle announced that it had reached an agreement to acquire Christian Salvesen. It has been observed that the decision of the Salvesen firm, chaired by Sir Gerald H. Elliot, to sell two disused whaling stations on South Georgia to Constantino Davidoff, an Argentinean scrap merchant, led inadvertently to the Falkland islands conflict. When an Argentinean scrap team arrived at South Georgia in March 1982 it was aboard an Argentinean warship. The Argentinean flag was raised on South Georgia and Argentinean troops seized the Falklands two weeks later. In 1998 Sir Gerald published A Whaling Enterprise: Salvesen in the Antarctic detailing the history of Salvesen's whaling interests, the lives of whalers and the technical and economic frameworks which supported the industry. He has also written papers on the control of whaling and fishing, arts administration and economic management. Sir Gerald Elliot has also been a Director of the Scottish Provident Institution, 1971-1989, and then Chairman 1983-1989, and Chairman of the Prince's Scottish Youth Business Trust, 1987-1994. He has been a Trustee of the National Museums of Scotland, 1987-1991, and a member of the Court, Edinburgh University, 1984-1993. He has held many other positions too in commerical and public organisations. In addition to his knighthood awarded in 1986, Sir Gerald is also a Knight First Class of the Order of the White Rose of Finland.

",Biographical / Historical,3620,"{'Gendered-Pronoun', 'Stereotype', 'Unknown', 'Masculine', 'Omission', 'Generalization', 'Gendered-Role', 'Occupation', 'Feminine'}",Coll-1357
5557,"Papers of Sir Gerald Elliot

",Title,3621,"{'Masculine', 'Gendered-Role'}",Coll-1357
1982,"Compiled by Graeme D. Eddie, Edinburgh University Library, Special Collections.",Processing Information,3622,{'Unknown'},Coll-1357
10589,"The farmer, the gene and the fabric

",Title,3623,{'Occupation'},Coll-1362
11472,"Wool from Samuel Marsden's sheep and other contemporary Merinos

",Title,3624,{'Unknown'},Coll-1362
10586,"The exploitation of animals by man

",Title,3625,{'Generalization'},Coll-1362
8491,"Sheep and the Clearances in the Scottish Highlands : a biologist's view

",Title,3626,{'Occupation'},Coll-1362
10587,"The expression of female sex-limited characteristics in the male

",Title,3627,{'Gendered-Role'},Coll-1362
8444,"Selection among males for the genetic improvement of female fertility

",Title,3628,{'Gendered-Role'},Coll-1362
11473,"Wools from textiles in the ""Mary Rose"", a sixteenth-century English warship

",Title,3629,{'Stereotype'},Coll-1362
11538,"[Book Review] Genetic manipulation of the early mammalian embryo, Banbury Report 20. Edited by F Costantini  R Jaenisch. Cold Spring Harbor, NY:Cold Springs Laboratory, 1985

",Title,3630,{'Unknown'},Coll-1362
2990,"Gamebirds of the northern hemisphere by I. Brodie

",Title,3631,{'Unknown'},Coll-1362
722,"Analysis of human genetic linkage. By Jurg Ott. Baltimore: Johns Hopkins University Press. 1985

",Title,3632,{'Unknown'},Coll-1362
11537,"[Book Review] Avian Physiology, 4th edition, Edited P D Sturkie, 1986, ISBN 354096195X. Pp xii + 516. Heidelberg: Springer. Dm 148.OO

",Title,3633,{'Unknown'},Coll-1362
10604,"The genetics of copper metabolism in animals and man

",Title,3634,{'Generalization'},Coll-1362
11205,"Two possible male predictor traits for female reproduction

",Title,3635,{'Gendered-Role'},Coll-1362
5013,"Merck Veterinary Manual, 6th Edition. Edited by C.M. Fraser, 1986. XXVII+1677 pp. Rahway, New Jersey, Merck  Co. Inc. o16.95. ISBN 0-911910-53-0 [Book review]

",Title,3636,{'Unknown'},Coll-1362
8129,"Recent advances in male reproduction

",Title,3637,"{'Gendered-Role', 'Generalization'}",Coll-1362
11539,"[Book Review] Primer of Genetic Analysis. By J NThompson Jr, J J Hellack and G Braver. Cambridge University Press, Cambridge. 1987

",Title,3638,{'Unknown'},Coll-1362
11624,"[Video review] Transgenic techniques in mice: a video guide. By Roger A Pedersen and Janet Rossant. New York: Cold Springs Harbor Laboratory, 1988

",Title,3639,{'Unknown'},Coll-1362
11540,"[Book review] A stereotaxic atlas of the brain of the chick (Gallus domesticus), by W J Kuenzel and M Masson, 1988. 166pp., illiustrated. Baltimore: The John Hopkins University Press. £44.50. ISBN 0 8018 37500 6

",Title,3640,{'Unknown'},Coll-1362
8131,"Recent research in male reproduction

",Title,3641,{'Gendered-Role'},Coll-1362
11541,"[Book review] Practical Isozyme Genetics, by N. Pasteur and G. Pasteur. Translator: Matthew Cobb, 1988. 215pp illustrated. Chichester, England, Ellis Horwood. o22.50. ISBN 0745805019

",Title,3642,{'Unknown'},Coll-1362
11536,"[Book Review] A revolution in biotechnology. Ed: by Marx J L Publ: Cambridge University Press 1989. £25. ISBN 0 521 32749 0

",Title,3643,{'Unknown'},Coll-1362
7992,"Predictor traits in males reflecting prolificacy in females

",Title,3644,{'Gendered-Role'},Coll-1362
3004,"Genome analysis in domestic animals. Edited by H. Geldermann and F. Ellendorff. VCH Verlagsgesellshaft mbH, Weinheim, Germany, 1990. Pp 337. Hardback: £75.00 ISBN 3527280979 [Book review]

",Title,3645,{'Unknown'},Coll-1362
3543,"Journal of Sustainable Agriculture, Vol 1 No 1, Editor R P Poincelot, New York, Food Products Press. ISSN: 1044-0046 [Journal review]

",Title,3646,"{'Occupation', 'Unknown'}",Coll-1362
2742,"Egg and Eggshell Quality, Editor Sally E Solomon, 1991, 149pp., illustrated. London, Wolfe Publishing Ltd. o35.00. ISBN 0723416478 [Book Review]

",Title,3647,"{'Occupation', 'Unknown'}",Coll-1362
8127,"Recent Advances in Turkey Science. Edited by C Nixey and T C Grey. Poultry Science Symposium Number 21. London, Butterworths, ISBN 0408009713 [Book review]

",Title,3648,{'Unknown'},Coll-1362
480,"A Colour Atlas of Avian Anatomy, Editor J McLelland, 1990 127pp. illus. London, Wolfe Publishing Ltd. #30. ISBN 0723415757 [Book Review]

",Title,3649,"{'Occupation', 'Unknown', 'Generalization'}",Coll-1362
2772,"Endocrine and ovarian responses in Red and Pere David's deer following superovulation with PMSG and FSH

",Title,3650,{'Unknown'},Coll-1362
4868,"Manipulation of egg yolk cholesterol: a physiologist's view

",Title,3651,{'Occupation'},Coll-1362
11406,"Welfare of transported animals. [Letter to the Editor]

",Title,3652,{'Occupation'},Coll-1362
489,"A Handbook of Poultry and Gamebird Diseases. Peter Curtis. 1990. 3rd Edition. 70pp. £8.50. Liverpool, Liverpool University Press. ISBN 085323356X [Book Review]

",Title,3653,{'Unknown'},Coll-1362
8098,"Quantifying welfare. [Letter to the Editor]

",Title,3654,{'Occupation'},Coll-1362
1574,"Book Review: Lives in the Balance. The ethics of using animals in biomedical research. Editors Jane A Smith and Kenneth M Boyd £19.50 Oxford: Oxford University Press. xvi+350- 1991 ISBN 0198547447

",Title,3655,"{'Occupation', 'Unknown'}",Coll-1362
729,"Animal welfare [Letter to the Editor]

",Title,3656,{'Occupation'},Coll-1362
5626,"Pelleted feed [Letter to the Editor]

",Title,3657,{'Occupation'},Coll-1362
2860,"Farm animal welfare [Letter to the Editor]

",Title,3658,{'Occupation'},Coll-1362
8183,"Reply to McGregor, Barnard and Hurst

",Title,3659,"{'Omission', 'Unknown'}",Coll-1362
11151,"Toxic Substances in Crop Plants. D'Mello, J. P. Felix; Duffus, Carol, M.; Duffus, John, H. x,339pp. Cambridge, England: The Royal Society of Chemistry. 1991. o69.50 ISBN 0851868630 [Book review]

",Title,3660,{'Unknown'},Coll-1362
8588,"Statistical Genetics by Prem Narain. Wiley; New Delhi, India. xv+598 pages. £26 [Book Review]

",Title,3661,{'Unknown'},Coll-1362
3497,"Joe Whittaker, Graphical models in applied multivariate statistics, Chichester: John Wiley and Sons, 1990, pp. xiv+448 [Book review]

",Title,3662,"{'Gendered-Role', 'Unknown'}",Coll-1362
903,"Atlas of Diagnostic Radiology of Exotic Pets: Small Mammals, Birds, Reptiles, and Amphibians. Edited by G A Rubel, E Isenbugel and P Wolvekamp. Publisher, Wolfe Publishing Ltd. London, 1991. £70.00. ISBN 0723416427 [Book Review]

",Title,3663,{'Unknown'},Coll-1362
2817,"Everything you wanted to know about baculovirus: The Baculovirus Expression System: a laboratory guide. L A King; R D Possee; London: Chapman and Hall; 1992. £30.00. ISBN 0412371502 [Book review]

",Title,3664,{'Unknown'},Coll-1362
728,"Animal Applications of Research in Mammalian Development. Edited by R A Pederson, A McLaren, N L First. Cold Spring Harbor Laboratory Press, 1991, pp 334 $44. ISBN 0879693339 [Book review]

",Title,3665,{'Unknown'},Coll-1362
8304,"Research and the farmer

",Title,3666,{'Occupation'},Coll-1362
10715,"The mosaic daughter of a mosaic cock

",Title,3667,{'Gendered-Role'},Coll-1362
3129,"How the scientist helps the practical man

",Title,3668,{'Occupation'},Coll-1362
8308,"Research in poultry: scientists at work

",Title,3669,{'Occupation'},Coll-1362
1563,"Biological effects of freezing and supercooling. A U Smith, 1961. [Nat. Inst. Med. Res. London]. With foreward by A S Parkes. Monogr. physiol. Soc., No. 9, London: Edward Arnold (Publishers) Ltd. xi +462 pp. [B.] Price: 55s. [Book review]

",Title,3670,"{'Occupation', 'Unknown'}",Coll-1362
11422,"Wihelm von Nathusius, 1821-1899, on Avian Eggshells. A translated and edited version of his work by Prof. Cyril Tyler. Pp. 104+18 plates. (Reading: C. Tyler. Obtainable from the Berkshire Printing Co., Ltd., Oxford Road, Reading) 43s. 6d. [Book review]

",Title,3671,"{'Gendered-Pronoun', 'Masculine', 'Unknown'}",Coll-1362
10736,"The ornithology of Ulisse Aldrovandi (1600), Vol. 11, Book XIV. Pp. xxxvi+447. Translated from the latin with introduction, contents and notes by L. R. Lind. Norman, Oklahoma: University of Oklahoma Press, 1963. 55s. 6d; 6.95 dollars. [Book review]

",Title,3672,{'Unknown'},Coll-1362
2727,"Ecological genetics. By Prof. E. B. Ford. Pp. xv+335+16 plates. (London: Methuen and Co. Ltd.; New York: John Wiley and Sons, Inc., 1964.) 42s net. [Book review]

",Title,3673,"{'Gendered-Role', 'Unknown'}",Coll-1362
10603,"The foundations of genetics. By F A E Crew, 1966. London: Perganon Press. 1st ed. xiii+202pp. Price: 21s. [Book review]

",Title,3674,{'Unknown'},Coll-1362
1487,"Avian physiology by Paul D. Sturkie, 2nd ed., Comstock: Cornell University Press. pp. xxvi+766; $15 [Book review]

",Title,3675,{'Unknown'},Coll-1362
1489,"Avian physiology by Paul D. Sturkie. 776 pp. 2nd edn. London: Bailliere, Tindall  Cassell. Price 120s. [Book review]

",Title,3676,{'Unknown'},Coll-1362
1488,"Avian physiology by Paul D. Sturkie, 2nd ed., Ithaca, NY: Comstock Publishing Associates, a division of Cornell University Press, pp. xxvi+766; $15 [Book review]

",Title,3677,{'Unknown'},Coll-1362
10436,"The biochemistry of semen and of the male reproductive tract by T Mann. London: Methuen  Co, 1964. 2nd ed. xxiii+493 pp. Price £5 5s. [Book review]

",Title,3678,{'Unknown'},Coll-1362
8128,"Recent advances in animal nutrition, edited by J T Abrams, J  A Churchill Ltd, London, 1966. Pp. 261. Price 36s [Book review]

",Title,3679,{'Unknown'},Coll-1362
10590,"The feathers and plumage of birds by A A Voitkevich. 1966. Translated from Russian. London: Sidgwick  Jackson Ltd. xvi+335pp. Price 45s. [book review]

",Title,3680,{'Unknown'},Coll-1362
4924,"Marshall's physiology of reproduction. Vol. III Edited by A S Parkes, 1966. London: Longmangs, Green  Co. Ltd. 3rd ed. xv+1168pp. Price: 350s. [Book review]

",Title,3681,"{'Omission', 'Unknown'}",Coll-1362
8116,"Readings in animal behaviour. Edited by Thomas E. McGill. Holt, Rinehart,  Winston, New Yorki, Chicago, San Francisco, Toronto and London. $12.00. x+592 p.; ill. 1965. [Book review]

",Title,3682,{'Unknown'},Coll-1362
4932,"Mast cells in nerves affected with fowl paralysis (Marek's disease)

",Title,3683,{'Unknown'},Coll-1362
10435,"The big loss makers: Implications of developments in leucosis and Marek's disease research

",Title,3684,{'Unknown'},Coll-1362
11383,"Virus-like particles in blood lymphocytes in acute Marek's disease

",Title,3685,{'Unknown'},Coll-1362
8489,"Sex and behavior, edited by F A Beach. 1965. New York, London and Sydney: John Wiley and Sons, Inc., xvi+592 pp. Price 78s. [Book review]

",Title,3686,"{'Gendered-Role', 'Unknown'}",Coll-1362
586,"Adaptation of the Bergman and Loxley technique for hydroxyproline determination to the auto-analyser and its use in determining plasma hydroxyproline in the domestic fowl

",Title,3687,{'Omission'},Coll-1362
5296,"Nutrition of the chicken, by M. L. Scott, N. C. Neishman and R. J. Young. Ithaca, New York: M. L. Scott and Associates, 1969 [Book review]

",Title,3688,{'Unknown'},Coll-1362
8051,"Proceedings of the second nutrition conference for feed manufacturers, Edited by H. Swan and D. Lewis, London: Churchill, 1968 [Book review]

",Title,3689,{'Unknown'},Coll-1362
10677,"The male in reproduction

",Title,3690,{'Gendered-Role'},Coll-1362
3148,"If hens were women...Dr A B Gilbert of the ARC Poultry Research Centre, Edinburgh takes an unconventional look at the pullet's potential

",Title,3691,"{'Stereotype', 'Gendered-Role', 'Unknown'}",Coll-1362
10591,"The female reproductive effort

",Title,3692,{'Gendered-Role'},Coll-1362
8630,"Symposium sur la physiologie de la formation de la coquille de l'oeuf. Edited by P. Mongin and B. Sauveur. Supplement 2 to Annales de Biologie Animale, Biochimie, Biophysique, Volume 10, 1970. 208pp Institut National de la Recherche Agronomique, NF 70,00 [Book review]

",Title,3693,{'Unknown'},Coll-1362
10794,"The testis. Development, anatomy and physiology. Volume I (ed A.D. Johnson, W.R. Gomes and N.L. Vandemark). New York and London: Academic Press, 1970. Pp, xvi+684. $39. [Book review]

",Title,3694,{'Unknown'},Coll-1362
10795,"The testis. Development, anatomy and physiology. Volume III (ed A.D. Johnson, W.R. Gomes and N.L. Vandemark). New York and London: Academic Press, 1970. Pp. xv+596. $36. [Book review]

",Title,3695,{'Unknown'},Coll-1362
8415,"Scientists forecast big changes in feed formulation

",Title,3696,{'Occupation'},Coll-1362
11299,"Ultrastructure of the hen eggshell and its physiological interpretation, by P C M Simons. xviii+136pp. Centre for Agricultural Publishing and Documentation, Wageningen, Netherlands. ISBN 90 2200340 X. £30. [Book review]

",Title,3697,{'Unknown'},Coll-1362
3590,"Kompendium der Geflugelkrankheiten by O. Siegman [Book review]

",Title,3698,{'Unknown'},Coll-1362
1691,"Can the psychologist measure stress?

",Title,3699,{'Occupation'},Coll-1362
757,"Apparatus and techniques for measuring eggshell strength and other quality factors. Engineering Specifications 6176. P. W. Voisey and J. R. Hunt. Ottowa: Agriculture Canada (1973) [Book review]

",Title,3700,{'Unknown'},Coll-1362
2996,"Geflügelernährung, by H. Jeroch. Jena, Fisher. 1972 [Book review]

",Title,3701,{'Unknown'},Coll-1362
3678,"Lehrbuch der anatomie der haustiere. Band V. Anatomie der hausvögel, by A. Schummer. 1973. Berlin: Paul Parey [Book review]

",Title,3702,{'Unknown'},Coll-1362
4901,"Mapping the complex genomes of animals and man

",Title,3703,{'Generalization'},Coll-1362
717,"An historical approach to ethology. An introduction to animal behavior: ethology's first century. Peter H. Klopfer. Prentice-Hall, Eaglewood Cliffs, N. J., 1974, second edition, xiv + 332pp., US$10.50, £6.09 [Book review]

",Title,3704,{'Unknown'},Coll-1362
7986,"Poultry health and management: chickens, ducks, turkeys, geese, quail. 3rd edn. By David Sainsbury, 1992. 214 pp. illustrated. Oxford: Blackwell Scientific Publications. £17.99. ISBN 0-632-03325-8 [book review]

",Title,3705,{'Unknown'},Coll-1362
902,"Atlas of Avian Radiographic Anatomy. SA Smith and BJ Smith, 1992, 226 pp., illustrated. Philadelphia, WB Saunders Company. £43. ISBN 0 7216 3652 7. [book review]

",Title,3706,{'Unknown'},Coll-1362
3402,Interpreting sequence motifs [ Letter to editor],Title,3707,{'Occupation'},Coll-1362
8619,"Superovulation in red deer (Cervus elaphus) and Père David's deer (Elaphurus davidianaus), and fertilization rates following artificial insemination with Père David's deer semen

",Title,3708,{'Unknown'},Coll-1362
5134,"New breeding technologies: future options for cattle breeders

",Title,3709,{'Occupation'},Coll-1362
4869,"Manipulation of the avian genome. Edited by R J Etches  A M V Gibbins, 1993. 322 pp., illustrated in colour. Boca Raton, FL, CRC Press. ISBN 0-8493-4216-3 [Book review]

",Title,3710,{'Unknown'},Coll-1362
8309,"Research institute's work can lead to benefits for all farm animals [letter to editor]

",Title,3711,{'Occupation'},Coll-1362
10316,"The Health of Poultry. Edited by Mark Pattison, 1993. xv +227 pp. Illustrated in colour. £55.00. Harlow, Longman Scientific and Technical. ISBN 0-582-06579-8 [book review]

",Title,3712,{'Unknown'},Coll-1362
2999,"Gene Targeting: A Practical Approach. Edited by Alexandra L Joyner. Oxford University Press/IRL. 1993. 234 pages. Price Paperback £19.50. Also available in Hardback. ISBN 0 19 963406 8 [book review]

",Title,3713,{'Unknown'},Coll-1362
4779,"Localisation and Ontogeny of Peptidergic Neurons in Birds. Edited by R. Jozsa  B. Mess, 1993. 96pp. Akademicai Kiado, H-1519 Budapest, Hungary. [book review]

",Title,3714,{'Unknown'},Coll-1362
5612,"Patenting of Human Genes and Living Organisms. Edited by F. Vogel and R. Grunwald. Springer-Verlag. 1994. 244 pages. Price DM80.00, öS 624,000, sFr 80.00. ISBN 3 540 58148 0. [book review]

",Title,3715,{'Unknown'},Coll-1362
5047,"Molecular Genetics of Sex Determination. Stephen S. Wachtel (ed). Academic Press, London. 1994. Pp. 518. Price £59.50, hardback. ISBN 0 12 728960 7. [book review]

",Title,3716,"{'Occupation', 'Unknown'}",Coll-1362
2409,"Crossover: Concepts and Applications in Genetics, Evolution and Breeding - An Interactive Computer-Based Laboratory Manual. Jack E. Staub. The University of Wisconsin Press, Madison. 1994. Pp. 359 (+3.5"" DS DD Macintosh formatted floppy disk). Price £27.00, Comb-bound. ISBN 0 299 13564 0. [book review]

",Title,3717,{'Unknown'},Coll-1362
7988,"Practical Slaughter of Poultry. A guide for the small producer. 1995. 30 pp. Illustrated. £1.00. Potters Bar, Humane Slaughter Association. ISBN 1 871561 10 8 [book review]

",Title,3718,{'Occupation'},Coll-1362
4777,"Livestock Housing. Edited by C M Wathes  D R Charles. 1994. xi +428 pp. Illustrated. £55.00. Wallingford, Oxon, CAB International. ISBN 085198 774 5 [book review]

",Title,3719,"{'Generalization', 'Unknown'}",Coll-1362
10286,"The Development of Brain and Behaviour in the Chicken, by Leslie J. Rogers. CAB International, Wallingford, U.K., 1995, 288 pp. £45 (US$77.50) [book review]

",Title,3720,{'Unknown'},Coll-1362
1812,"Catalogued by Kristy Davies, April-November 2012.",Processing Information,3721,"{'Generalization', 'Unknown'}",Coll-1362
